_항목,ADDR1_NM,ADDR2_NM,MIN_PRICE,MID_PRICE,AVG_PRICE,MAX_PRICE,ANIMAL_TYPE_CD,SIDO_CD,ADDR1_CD,GUGUN_PRICE_SEQ,MEDI_TYPE_CD,ATTR,_시도,_mediTypeCd,_animalTypeCd
초진 진찰료 5kg,서울특별시,강남구,5000,11000,15078,50000,ANITY00006,11,11,128,MEDIT00001,seoul-Gangnam-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,강동구,5000,9500,9300,22000,ANITY00006,11,11,129,MEDIT00001,seoul-Gangdong-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,강북구,5000,10000,8709,15000,ANITY00006,11,11,130,MEDIT00001,seoul-Gangbuk-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,강서구,4000,10000,9915,22000,ANITY00006,11,11,131,MEDIT00001,seoul-Gangseo-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,관악구,5000,8000,9305,27500,ANITY00006,11,11,132,MEDIT00001,seoul-Gwanak-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,광진구,3000,9000,8866,30000,ANITY00006,11,11,133,MEDIT00001,seoul-Gwangjin-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,구로구,5000,8000,8581,15000,ANITY00006,11,11,134,MEDIT00001,seoul-Guro-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,금천구,3000,11500,12594,30000,ANITY00006,11,11,135,MEDIT00001,seoul-Geumcheon-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,노원구,5000,10000,10835,30000,ANITY00006,11,11,136,MEDIT00001,seoul-Nowon-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,도봉구,3300,7700,8548,25000,ANITY00006,11,11,137,MEDIT00001,seoul-Dobong-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,동대문구,5000,10000,9550,20000,ANITY00006,11,11,138,MEDIT00001,seoul-Dongdaemun-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,동작구,5000,9750,9230,15000,ANITY00006,11,11,139,MEDIT00001,seoul-Dongjak-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,마포구,5000,10000,10486,22000,ANITY00006,11,11,140,MEDIT00001,seoul-Mapo-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,서대문구,5000,10000,10175,15000,ANITY00006,11,11,141,MEDIT00001,seoul-Seodaemun-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,서초구,3000,10000,10000,22000,ANITY00006,11,11,142,MEDIT00001,seoul-Seocho-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,성동구,5000,11000,10922,20000,ANITY00006,11,11,143,MEDIT00001,seoul-Seongdong-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,성북구,5000,10000,10558,22000,ANITY00006,11,11,144,MEDIT00001,seoul-Seongbuk-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,송파구,3000,10000,10674,30000,ANITY00006,11,11,145,MEDIT00001,seoul-Songpa-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,양천구,3000,8400,9579,30000,ANITY00006,11,11,146,MEDIT00001,seoul-Yangcheon-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,영등포구,5000,10000,9986,16000,ANITY00006,11,11,147,MEDIT00001,seoul-Yeongdeungpo-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,용산구,5000,10000,10848,19000,ANITY00006,11,11,148,MEDIT00001,seoul-Yongsan-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,은평구,5000,9000,9541,25000,ANITY00006,11,11,149,MEDIT00001,seoul-Eunpyeong-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,종로구,6000,10000,10636,15000,ANITY00006,11,11,150,MEDIT00001,seoul-Jongno-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,중구,5000,10000,11382,30000,ANITY00006,11,11,151,MEDIT00001,seoul-jung-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,서울특별시,중랑구,5500,10000,10138,20000,ANITY00006,11,11,152,MEDIT00001,seoul-Jungnang-gu,서울특별시,MEDIT00001,ANITY00006
초진 진찰료 5kg,부산광역시,강서구,5000,8500,8645,11000,ANITY00006,26,26,111,MEDIT00001,Busan-Gangseo-gu,부산광역시,MEDIT00001,ANITY00006
초진 진찰료 5kg,부산광역시,금정구,5000,10000,11647,27000,ANITY00006,26,26,112,MEDIT00001,Busan-Geumjeong-gu,부산광역시,MEDIT00001,ANITY00006
초진 진찰료 5kg,부산광역시,기장군,5000,8000,7823,12000,ANITY00006,26,26,113,MEDIT00001,Busan-Gijang-gun,부산광역시,MEDIT00001,ANITY00006
